,timestamp,address,symbol,price,returns,std_dev
594,2020-09-26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,353.11285,-0.0012381289260779695,0.035867363784906736
593,2020-09-27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,355.5767,0.006953284204280305,0.036365209975663414
592,2020-09-28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,357.0379,0.004100960176386848,0.03190900040278924
591,2020-09-29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,353.8872,-0.008863720321619445,0.02604219573890685
590,2020-09-30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,360.4342,0.018331197505407053,0.02124510432991723
589,2020-10-01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,357.71005,-0.007586673753319893,0.022371628484686677
588,2020-10-02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,347.80447,-0.028082287988747356,0.01357053280642784
587,2020-10-03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,347.8447,0.00011566174957091913,0.013594494341243704
586,2020-10-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,348.1245,0.0008040586137273174,0.013170091253520814
585,2020-10-05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,349.6198,0.004286103918412357,0.013184555182856833
584,2020-10-06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,345.45584,-0.01198145805571397,0.013425594392158464
583,2020-10-07,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,339.65985,-0.016920144619068996,0.01063415338282107
582,2020-10-08,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,342.7933,0.009182965950028758,0.012320871785198476
581,2020-10-09,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,359.73563,0.04824175895537479,0.01963215698315931
580,2020-10-10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,363.74374,0.011080208151780969,0.019631864338061262
579,2020-10-11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,371.5948,0.0213544045847087,0.020108579325896624
578,2020-10-12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,382.29263,0.028382349162327916,0.020995048222438306
577,2020-10-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,385.41956,0.008146144694716173,0.018657447469846565
576,2020-10-14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,379.717,-0.014906268733292722,0.01816213344246039
575,2020-10-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,375.1731,-0.01203871895817748,0.020637202382846647
574,2020-10-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,371.45804,-0.009951609197235289,0.015901332907209922
573,2020-10-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,367.3073,-0.011237082878772937,0.016504475543617968
572,2020-10-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,372.98676,0.015344095645369869,0.015573768163901694
571,2020-10-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,369.8486,-0.008449190326926126,0.010751597224231298
570,2020-10-20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,362.82294,-0.01917878603632878,0.01032072311268505
569,2020-10-21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,363.5612,0.0020326992662566476,0.010548999076832098
568,2020-10-22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,408.99945,0.1177661653603535,0.04425310312750921
567,2020-10-23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,409.7381,0.001804363804747065,0.0435937100154498
